ano,população
2025,5.666249990463257e-07
2026,5.668996572494507e-07
2027,5.672086477279663e-07
2028,5.67517638206482e-07
2029,5.677427053451538e-07
2030,5.679830312728881e-07
2031,5.683187246322632e-07
2032,5.68543791770935e-07
2033,5.688642263412476e-07
2034,5.691236257553101e-07
2035,5.693410634994507e-07
2036,5.696309804916382e-07
2037,5.6991708278656e-07
2038,5.701459646224976e-07
2039,5.70477843284607e-07
2040,5.70691466331482e-07
2041,5.710157155990601e-07
2042,5.712751150131225e-07
2043,5.714658498764038e-07
2044,5.717939138412475e-07
2045,5.720494985580444e-07
2046,5.722898244857788e-07
2047,5.725606679916382e-07
2048,5.728963613510132e-07
2049,5.731366872787476e-07
2050,5.734189748764038e-07
2051,5.736898183822631e-07
2052,5.739835500717163e-07
2053,5.742391347885132e-07
2054,5.744985342025757e-07
2055,5.748265981674195e-07
2056,5.750859975814819e-07
2057,5.752919912338256e-07
2058,5.75574278831482e-07
2059,5.758641958236694e-07
2060,5.761884450912476e-07
2061,5.763448476791381e-07
2062,5.76661467552185e-07
2063,5.769170522689819e-07
2064,5.772031545639038e-07
2065,5.774320363998413e-07
2066,5.777143239974975e-07
2067,5.78015685081482e-07
2068,5.782369375228882e-07
2069,5.786069631576538e-07
2070,5.788434743881226e-07
2071,5.791372060775757e-07
2072,5.792859792709351e-07
2073,5.796254873275756e-07
2074,5.799306631088257e-07
